,id,name,team,points_line,points_l20Rate,points_l10Rate,points_l5Rate,points_vsOpp,points_vsOppGames,reb_line,reb_l20Rate,reb_l10Rate,reb_l5Rate,reb_vsOpp,reb_vsOppGames,ast_line,ast_l20Rate,ast_l10Rate,ast_l5Rate,ast_vsOpp,ast_vsOppGames,player_url,site,points_projection,rebounds_projection,assists_projection
53,dd146010-902b-4ad7-b98c-650d0363a2f0,Kyrie Irving,DAL,25.5,40.0,40.0,60.0,43.0,7.0,4.5,45.0,60.0,60.0,14.0,7.0,5.5,25.0,30.0,40.0,57.0,7.0,https://api.props.cash/nba/player-feed?playerId=dd146010-902b-4ad7-b98c-650d0363a2f0&int=0,home,27.28,5.94,4.47
54,8bd80771-843f-4d7f-a4e7-b4d4f6c4e7c6,Tyler Herro,MIA,22.5,50.0,40.0,40.0,20.0,5.0,5.5,40.0,40.0,40.0,60.0,5.0,6.5,40.0,70.0,60.0,0.0,5.0,https://api.props.cash/nba/player-feed?playerId=8bd80771-843f-4d7f-a4e7-b4d4f6c4e7c6&int=0,away,20.46,4.38,6.32
55,e872cdaf-5d04-45c2-bbfe-d673f3fb26ce,Max Christie,DAL,14.5,40.0,60.0,100.0,17.0,6.0,4.5,30.0,40.0,60.0,33.0,6.0,2.5,40.0,60.0,80.0,17.0,6.0,https://api.props.cash/nba/player-feed?playerId=e872cdaf-5d04-45c2-bbfe-d673f3fb26ce&int=0,home,15.02,4.66,2.89
56,d0c7135a-1aea-40cb-ba20-df656de71749,Anthony Edwards,MIN,28.5,60.0,60.0,60.0,8.0,13.0,5.5,65.0,70.0,100.0,54.0,13.0,4.5,55.0,50.0,20.0,46.0,13.0,https://api.props.cash/nba/player-feed?playerId=d0c7135a-1aea-40cb-ba20-df656de71749&int=0,home,32.76,6.8,4.58
57,62c44a90-f280-438a-9c7e-252f4f376283,Jalen Williams,OKC,19.5,45.0,60.0,40.0,33.0,9.0,4.5,60.0,60.0,80.0,22.0,9.0,5.5,40.0,40.0,20.0,11.0,9.0,https://api.props.cash/nba/player-feed?playerId=62c44a90-f280-438a-9c7e-252f4f376283&int=0,away,20.81,5.26,4.73
58,03d77214-5780-4715-8df2-13de3af5ea2d,Jordan Clarkson,UTA,16.5,60.0,50.0,80.0,75.0,12.0,,,,,,,4.5,35.0,30.0,40.0,50.0,12.0,https://api.props.cash/nba/player-feed?playerId=03d77214-5780-4715-8df2-13de3af5ea2d&int=0,home,16.59,3.69,3.93
59,e1e4c26d-ab5c-4bd7-886a-812854466bb8,Norman Powell,LAC,23.5,45.0,50.0,40.0,45.0,11.0,3.5,60.0,50.0,40.0,27.0,11.0,2.5,30.0,50.0,80.0,27.0,11.0,https://api.props.cash/nba/player-feed?playerId=e1e4c26d-ab5c-4bd7-886a-812854466bb8&int=0,away,23.1,4.24,3.03
60,795f46f2-c78d-4f1d-9ee2-4331c1cc8184,Buddy Hield,GSW,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=795f46f2-c78d-4f1d-9ee2-4331c1cc8184&int=0,away,10.21,3.65,1.86
61,252f4b13-6abb-45dc-ae85-f822b817cb51,Javonte Green,NOP,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=252f4b13-6abb-45dc-ae85-f822b817cb51&int=0,home,3.76,2.41,0.81
62,d3b28775-473d-471a-8452-e913f4347f0f,Aaron Wiggins,OKC,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=d3b28775-473d-471a-8452-e913f4347f0f&int=0,away,15.6,5.0,1.7
63,80b5cccf-203b-4482-92aa-76d1598216be,Collin Sexton,UTA,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=80b5cccf-203b-4482-92aa-76d1598216be&int=0,home,14.11,2.36,3.79
64,b9d4ce1b-94dc-4bec-8d62-70a86d9c523e,Amir Coffey (LAC),LAC,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=b9d4ce1b-94dc-4bec-8d62-70a86d9c523e&int=0,away,,,
